img,title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update,release_year
/games/boxart/9301166ccc.jpg,2Xtreme,PS,Sports,Sony Computer Entertainment,SCEA,8.3,1.4,1.15,,0.2,0.05,1996-10-31,,1996
/games/boxart/2125308ccc.jpg,Spider-Man: The Movie,XB,Action,Activision,Treyarch,7.7,1.4,1.07,,0.28,0.05,2002-04-15,,2002
/games/boxart/903634ccc.jpg,Need For Speed: Undercover,PS2,Racing,Electronic Arts,EA Vancouver,,1.4,0.38,0.03,0.08,0.93,2008-11-17,,2008
/games/boxart/1545824ccc.jpg,Sonic Advance 3,GBA,Platform,Thq,Dimps Corporation / Sonic Team,,1.4,0.74,0.08,0.52,0.06,2004-06-07,,2004
/games/boxart/6299439ccc.jpg,Colin Mcrae Rally 3,PS2,Racing,Codemasters,Codemasters,,1.4,0.03,0.02,1.05,0.3,2003-04-22,,2003
/games/boxart/full_4256270AmericaFrontccc.jpg,Assassin'S Creed Odyssey,XONE,Action-Adventure,Ubisoft,Ubisoft Quebec,,1.39,0.91,,0.35,0.13,2018-10-05,2018-11-17,2018
/games/boxart/full_8504839AmericaFrontccc.jpg,Street Fighter V,PS4,Fighting,Capcom,Capcom,,1.39,0.64,0.12,0.42,0.22,2016-02-16,2018-01-08,2016
/games/boxart/full_6969844AmericaFrontccc.jpg,Battlefield 4,PC,Shooter,Electronic Arts,EA DICE,,1.39,0.44,,0.85,0.1,2013-10-29,2018-01-05,2013
/games/boxart/full_4695890AmericaFrontccc.jpg,The Sims 4,PS4,Simulation,Electronic Arts,Maxis,,1.39,0.44,0.01,0.72,0.22,2017-11-17,2017-12-29,2017
/games/boxart/full_sonic-generations_773AmericaFront.jpg,Sonic Generations,X360,Platform,Sega,Sonic Team,7.7,1.39,0.71,0.0,0.54,0.13,2011-11-01,,2011
/games/boxart/full_2785243AmericaFrontccc.jpg,Hannah Montana: Spotlight World Tour,WII,Action,Disney Interactive Studios,Avalanche Software,,1.39,0.87,,0.38,0.13,2007-11-06,,2007
/games/boxart/9890373ccc.jpg,Teenage Mutant Ninja Turtles Iii: The Manhattan Project,NES,Action,Konami,Konami,,1.39,1.05,0.15,0.17,0.02,1992-02-01,,1992
/games/boxart/full_938056AmericaFrontccc.jpg,Toy Story 3: The Video Game,WII,Action,Disney Interactive Studios,Avalanche Software,,1.39,0.63,,0.62,0.14,2010-06-15,,2010
/games/boxart/6980834ccc.jpg,Nba Jam,SNES,Sports,Acclaim Entertainment,Iguana Entertainment,,1.39,1.19,,0.16,0.03,1994-03-01,,1994
/games/boxart/full_6446033AmericaFrontccc.jpg,Madden Nfl 2002,PS,Sports,Ea Sports,EA Sports,,1.39,0.78,,0.53,0.09,2001-08-13,,2001
/games/boxart/full_4478237AmericaFrontccc.jpg,The Elder Scrolls Online: Tamriel Unlimited,XONE,Mmo,Bethesda Softworks,ZeniMax Online Studios,,1.38,0.86,,0.39,0.13,2015-06-09,2018-09-15,2015
/games/boxart/full_3330052AmericaFrontccc.jpg,Littlebigplanet Ps Vita,PSV,Platform,Sony Computer Entertainment,Media Molecule,,1.38,0.36,0.02,0.69,0.31,2012-09-25,2018-04-06,2012
/games/boxart/full_9015416AmericaFrontccc.png,Rocket League,XONE,Sports,505 Games,Psyonix Studios,8.0,1.38,0.52,,0.75,0.11,2016-07-05,2018-04-04,2016
/games/boxart/full_340532AmericaFrontccc.png,Titanfall,X360,Shooter,Electronic Arts,Respawn Entertainment,,1.38,0.88,0.02,0.35,0.13,2014-04-08,2018-01-12,2014
/games/boxart/full_deus-ex-human-revolution_144AmericaFront.jpg,Deus Ex: Human Revolution,X360,Shooter,Square Enix,Eidos Montreal,8.8,1.38,0.77,0.02,0.47,0.12,2011-08-23,,2011
/games/boxart/full_deus-ex-human-revolution_477AmericaFront.jpg,Deus Ex: Human Revolution,PS3,Shooter,Square Enix,Eidos Montreal,8.8,1.38,0.5,0.07,0.6,0.22,2011-08-23,,2011
/games/boxart/full_2653111AmericaFrontccc.jpg,Far Cry 2,PS3,Shooter,Ubisoft,Ubisoft Montreal,8.4,1.38,0.43,0.01,0.69,0.26,2008-10-21,,2008
/games/boxart/full_3902291AmericaFrontccc.jpg,Bakugan: Battle Brawlers,DS,Action,Activision,MTO,6.4,1.38,1.26,,0.02,0.1,2009-10-20,,2009
/games/boxart/full_2733635AmericaFrontccc.jpg,The Sims 2,PSP,Simulation,Electronic Arts,Maxis,6.2,1.38,0.49,,0.56,0.33,2005-12-07,,2005
/games/boxart/1798365ccc.jpg,Duke Nukem: Time To Kill,PS,Shooter,Gt Interactive,n-Space,,1.38,0.77,,0.54,0.07,1998-09-30,,1998
/games/boxart/4824256ccc.jpg,Dave Mirra Freestyle Bmx 2,PS2,Sports,Acclaim Entertainment,"Z-Axis, Ltd.",,1.38,0.67,,0.53,0.18,2001-08-27,,2001
/games/boxart/7255090ccc.jpg,True Crime: Streets Of La,XB,Action,Activision,Luxoflux,,1.38,0.96,,0.37,0.05,2003-11-03,,2003
/games/boxart/full_lego-harry-potter-years-1-4_8AmericaFront.jpg,Lego Harry Potter: Years 1-4,PS3,Adventure,Warner Bros. Interactive,Traveller's Tales,7.9,1.37,0.55,,0.61,0.21,2010-06-29,2018-12-01,2010
/games/boxart/full_4132820AmericaFrontccc.jpg,Titanfall 2,XONE,Shooter,Electronic Arts,Respawn Entertainment,,1.37,0.88,,0.37,0.13,2016-10-28,2018-06-29,2016
/games/boxart/full_8187944PALFrontccc.jpg,Nba 2K15,PS3,Sports,2K Sports,Visual Concepts,,1.37,0.89,0.02,0.22,0.24,2014-10-07,2018-01-04,2014
/games/boxart/full_crysis-2_266AmericaFront.jpg,Crysis 2,X360,Shooter,Electronic Arts,Crytek,8.7,1.37,0.73,0.02,0.5,0.13,2011-03-22,,2011
/games/boxart/full_dead-rising-2_5AmericaFront.jpg,Dead Rising 2,PS3,Action,Capcom,Blue Castle Games,8.1,1.37,0.43,0.15,0.57,0.22,2010-09-28,,2010
/games/boxart/full_call-of-duty-black-ops_0AmericaFront.jpg,Call Of Duty: Black Ops,WII,Shooter,Activision,Treyarch,7.5,1.37,0.8,,0.46,0.12,2010-11-09,,2010
/games/boxart/full_need-for-speed-the-run_260AmericaFront.jpg,Need For Speed: The Run,X360,Racing,Electronic Arts,EA Black Box,5.5,1.37,0.63,0.0,0.57,0.16,2011-11-15,,2011
