publisher_name,genre,game_title,year,total_sales,genre_year_median,vs_median_ratio,entry_performance
3 O'Clock,Misc,Bikkuriman Daijiten,2007,0.0300,0.0900,0.33,weak entry
49games,Sports,Summer Athletics 2009,2009,0.0300,0.1650,0.18,weak entry
505 Games,Action,Shin Chan: Las Nuevas Aventuras Para Wii!,2008,0.0700,0.1600,0.44,weak entry
505 Games,Action-Adventure,Terraria,2013,0.5500,0.1850,2.97,strong breakout
505 Games,Adventure,"Lupin Iii: Lupin Ni Wa Shi O, Zenigata Ni Wa Koi O",2008,0.0500,0.0400,1.25,above median
505 Games,Fighting,Battle Fantasia,2009,0.0100,0.1400,0.07,weak entry
505 Games,Misc,New Touch Party Game,2007,0.0000,0.0900,0.00,weak entry
505 Games,Platform,¡Shin Chan Flipa En Colores!,2007,0.1400,0.3500,0.40,weak entry
505 Games,Puzzle,The Professor'S Brain Trainer: Logic,2006,0.0200,0.0500,0.40,weak entry
505 Games,Racing,Days Of Thunder: Nascar Edition,2011,0.0000,0.1300,0.00,weak entry
505 Games,Role-Playing,Portal Knights,2017,0.1400,0.0700,2.00,strong breakout
505 Games,Shooter,Arma: Queen'S Gambit,2007,0.0000,0.1250,0.00,weak entry
505 Games,Simulation,Aces Of War,2007,0.0000,0.1050,0.00,weak entry
505 Games,Sports,Championship Foosball,2008,0.0900,0.1700,0.53,below median
505 Games,Strategy,Dawn Of Fantasy,2011,0.0100,0.0750,0.13,weak entry
5pb,Action,Keitai Sousakan 7 Ds: Buddy Sequence,2009,0.0000,0.1700,0.00,weak entry
5pb,Adventure,Kanokon: Esuii,2008,0.0100,0.0400,0.25,weak entry
5pb,Misc,Akatsuki No Goei Trinity,2012,0.0200,0.0200,1.00,above median
5pb,Role-Playing,Item Getter: Bokura No Kagaku To Mahou No Kankei,2009,0.0000,0.0750,0.00,weak entry
5pb,Shooter,Dodonpachi Dai-Oujou: Black Label Extra,2009,0.0200,0.1300,0.15,weak entry
5pb,Visual Novel,Lucian Bee'S: Justice Yellow / Evil Violet,2010,0.0700,0.0450,1.56,above median
704games,Racing,Nascar Heat 2,2017,0.2500,0.0650,3.85,strong breakout
7g//Ames,Misc,Family Quiz,2010,0.0000,0.1100,0.00,weak entry
7g//Ames,Puzzle,Know How 2,2010,0.0100,0.0450,0.22,weak entry
7g//Ames,Simulation,Germany'S Next Topmodel 2011,2011,0.0400,0.0800,0.50,below median
Abel,Adventure,Fukakutei Sekai No Tantei Shinshi: Akugyou Futaasa No Jiken File,2009,0.0100,0.0300,0.33,weak entry
Acquire,Action,Kamiwaza,2006,0.0500,0.0800,0.63,below median
Acquire,Action-Adventure,Akiba'S Trip Plus,2012,0.0800,0.3300,0.24,weak entry
Acquire,Adventure,Akiba'S Trip,2011,0.1400,0.0400,3.50,strong breakout
Acquire,Role-Playing,Dun←Dam: Dungeons & Dam,2009,0.0100,0.0750,0.13,weak entry
Acquire,Strategy,Ken To Mahou To Gakuen Mono. Final: Shinnyusei Wa Ohimesama,2011,0.0800,0.0750,1.07,above median
Activision,Action-Adventure,Family Guy: Back To The Multiverse,2012,0.5200,0.3300,1.58,above median
Activision,Music,The Voice,2014,0.3000,0.1550,1.94,above median
Activision,Party,Wipeout 3 The Game,2012,0.9700,0.2200,4.41,strong breakout
Acttil,Role-Playing,Ray Gigant,2016,0.0500,0.0900,0.56,below median
Aerosoft,Simulation,My Traffic X,2007,0.0000,0.1050,0.00,weak entry
Agatsuma Entertainment,Misc,Anpanman Niko Niko Party,2010,0.0100,0.1100,0.09,weak entry
Agetec,Platform,Cookie & Cream,2007,0.0200,0.3500,0.06,weak entry
